GEOID,district
55067960500,1
55083100300,1
55041950200,1
55041950300,1
55067960400,1
55067960600,1
55073001600,1
55115100800,1
55139001700,2
55139002300,2
55139000400,2
55139000900,2
55087012504,2
55087013300,2
55015020306,2
55139003702,2
55011960300,3
55011960400,3
55091950100,3
55091950200,3
55121100700,3
55121100800,3
55011960500,3
55121100600,3
55131450103,4
55131450105,4
55131450104,4
55131460101,4
55131470202,4
55133200102,4
55131460102,4
55131470100,4
55101001802,5
55101001900,5
55101001801,5
55101980000,5
55079160204,6
55079160300,5
55101001502,5
55101001601,5
55079091100,6
55079091200,6
55079012500,6
55079013000,6
55079012800,6
55079091300,6
55079012600,6
55079091400,6
55025012100,7
55025012300,7
55045960100,7
55105002900,7
55025012201,7
55025012202,7
55025012001,7
55025012002,7
55021970800,8
55111000600,8
55111000200,8
55111001001,8
55025012800,8
55025012900,8
55025010904,8
55025013000,8
55025002100,8
55025002200,7
55025002401,8
55025002402,8
55025001604,7
55025001705,7
55025001900,7
55025002000,8
55031020700,3
55031030200,3
55031020600,3
55031020800,3
55031020300,3
55031021100,3
55031020400,3
55031020500,3
55105001100,7
55105001400,7
55105001302,7
55105001304,7
55105000200,7
55105000900,7
55105000700,7
55105000800,7
55079006400,6
55079006500,6
55079008600,6
55079008700,6
55079004600,6
55079006600,6
55079008500,6
55079185500,6
55133203200,4
55133203303,4
55133203405,4
55133203601,4
55133203101,7
55133203702,7
55133203602,4
55133203704,4
55087012601,1
55087012602,1
55087011000,1
55139002400,1
55087010100,2
55087010300,2
55087011300,2
55087011501,2
55003950800,1
55003990000,1
55003940000,1
55051180200,1
55003950300,1
55003950500,1
55003950400,1
55007960300,1
55025002900,7
55025010300,7
55025001401,7
55025991703,7
55025002603,7
55025003002,7
55025003001,7
55025003100,7
55079000600,6
55079001400,6
55079000501,6
55079000502,6
55079000302,6
55079000304,6
55079000102,4
55079000700,4
55013970800,3
55013970900,3
55013971000,3
55095960200,3
55005000200,3
55005000300,3
55095960300,3
