GEOID,district
55067960500,1
55083100300,1
55041950200,1
55041950300,1
55067960400,1
55067960600,1
55073001600,1
55115100800,1
55131450103,2
55131450105,2
55131450104,2
55131460101,2
55131470202,2
55133200102,2
55131460102,2
55131470100,2
55015020400,3
55015020500,3
55015020200,3
55071010400,3
55071010500,3
55071990000,3
55117001100,5
55117990000,5
55079100100,4
55079100200,4
55079017100,4
55079110100,4
55079100900,4
55079101400,4
55079100300,4
55079101500,4
55089630100,5
55089630202,5
55089660304,5
55089990000,5
55101001501,4
55101001504,5
55079030100,5
55079990000,5
55021971100,6
55021971200,6
55025011700,6
55025011900,6
55025011800,6
55055100400,6
55027961700,6
55027961900,6
55005001002,7
55017011100,7
55017010800,7
55017010900,7
55005000600,7
55005000800,7
55005001001,7
55033970100,7
55021970800,8
55111000600,8
55111000200,8
55111001001,8
55025012800,8
55025012900,8
55025010904,8
55025013000,8
55025002100,8
55025002200,8
55025002401,8
55025002402,8
55025001604,8
55025001705,8
55025001900,6
55025002000,6
55031020700,7
55031030200,7
55031020600,7
55031020800,7
55031020300,7
55031021100,7
55031020400,7
55031020500,7
55105001100,6
55105001400,6
55105001302,6
55105001304,6
55105000200,6
55105000900,6
55105000700,6
55105000800,6
55079006400,4
55079006500,5
55079008600,4
55079008700,4
55079004600,5
55079006600,5
55079008500,4
55079185500,4
55133203200,2
55133203303,2
55133203405,2
55133203601,2
55133203101,2
55133203702,2
55133203602,2
55133203704,2
55087012601,1
55087012602,1
55087011000,3
55139002400,3
55087010100,3
55087010300,3
55087011300,3
55087011501,3
55003950800,7
55003990000,7
55003940000,7
55051180200,7
55003950300,7
55003950500,7
55003950400,7
55007960300,7
55025002900,6
55025010300,6
55025001401,8
55025991703,6
55025002603,6
55025003002,6
55025003001,6
55025003100,6
55079000600,2
55079001400,2
55079000501,2
55079000502,2
55079000302,2
55079000304,2
55079000102,2
55079000700,2
55013970800,7
55013970900,7
55013971000,7
55095960200,7
55005000200,7
55005000300,7
55095960300,7
