GEOID,district
55079990000,1
55101990000,1
55089990000,1
55117990000,1
55061990000,1
55071990000,1
55029990000,1
55029100100,1
55107960200,2
55113100400,2
55107960400,2
55107960300,2
55005001002,2
55033970100,2
55005001001,2
55001950201,3
55001950501,3
55057100100,3
55001950202,3
55141010800,3
55053960100,3
55053960200,3
55019950800,3
55101002100,4
55101980000,4
55101001900,4
55101001802,4
55101002002,4
55101002701,4
55101002001,4
55133202002,4
55027961200,5
55027960200,5
55027961100,5
55027960400,5
55039041700,5
55027961700,5
55027961800,8
55079003200,6
55079003500,6
55079003000,6
55079003100,6
55079000501,6
55079001700,6
55079003300,6
55079090100,6
55087013300,7
55087012400,7
55087012901,7
55087013100,7
55087940000,7
55009020504,7
55009020503,7
55025011101,8
55025011000,5
55025010904,8
55025013000,8
55025012400,8
55025012502,8
55049950500,8
55025012600,8
55031990000,2
55007990000,2
55003990000,2
55051990000,2
55003950600,2
55051180200,2
55051180100,2
55029100400,1
55029100300,1
55083990000,1
55075990000,1
55075961500,1
55079012300,6
55079013300,6
55079186400,1
55079186800,1
55079012200,6
55079013600,6
55079011400,1
55079010600,1
55079014100,1
55079186000,1
55079186200,1
55079185900,1
55079185800,6
55079185400,1
55079018000,1
55079980000,1
55079186900,1
55079018500,1
55079021100,1
55079186600,1
55079018400,1
55079008500,1
55079008400,1
55079008700,6
55079008600,1
55079009900,6
55079009800,6
55079008900,6
55079008800,6
55069960300,2
55069960500,2
55069960200,2
55085970500,2
55085971001,2
55069960400,2
55099970600,2
55079185500,1
55079185600,1
55079006700,6
55079185700,1
55079008100,1
55079008000,1
55079007000,6
55079003600,6
55079003800,6
55079004000,6
55079002700,6
55079002800,6
55079002600,6
55025991702,8
55025010200,8
55025010100,5
55025000100,8
55025000408,5
55025000201,5
55025000300,5
55113100700,2
55113100800,2
55099970400,2
55099970500,2
55107960500,2
55107960100,2
55079014600,1
55079186300,1
55079014700,6
55079186100,6
55079014800,6
55079011000,1
55079011300,1
55079011100,1
55079010700,1
55079011200,1
55079007900,6
55079007100,6
55059990000,1
55059001000,4
55059001900,4
55059001800,4
55059002200,4
55059002100,4
55079005200,6
55079005300,6
55079003400,6
55079005400,6
55079005500,6
55009001000,7
55009000800,7
55009001100,7
55009001200,7
