GEOID,district
55079990000,1
55101990000,1
55089990000,1
55117990000,1
55061990000,1
55071990000,1
55029990000,1
55029100100,1
55107960200,2
55113100400,2
55107960400,2
55107960300,2
55005001002,2
55033970100,2
55005001001,2
55025013200,3
55021970800,3
55021970900,3
55021970700,3
55025013302,3
55025013301,3
55067960400,4
55067960700,4
55115100800,4
55073001600,4
55097960100,4
55073001700,4
55073001201,4
55015020600,5
55071010700,5
55015020400,5
55139001600,5
55039040700,5
55039040800,5
55039041400,5
55039042100,5
55133200400,6
55133200500,6
55133200803,6
55133200801,6
55133200202,6
55131470204,6
55089660201,6
55131470203,6
55025011101,7
55025011000,7
55025010904,7
55025013000,7
55025012400,7
55025012502,7
55049950500,7
55025012600,7
55079150304,8
55079150303,8
55079150301,8
55079187200,8
55133201506,8
55133201600,6
55133201900,8
55133201704,8
55031990000,2
55007990000,4
55003990000,4
55051990000,4
55003950600,4
55051180200,4
55051180100,4
55029100400,1
55029100300,1
55083990000,1
55075990000,1
55075961500,1
55079012300,1
55079013300,1
55079186400,1
55079186800,1
55079012200,1
55079013600,1
55079011400,1
55079010600,1
55079014100,1
55079186000,1
55079186200,1
55079185900,1
55079185800,1
55079185400,1
55079018000,1
55079980000,1
55079186900,1
55079018500,8
55079021100,8
55079186600,8
55079018400,8
55079008500,1
55079008400,1
55079008700,1
55079008600,1
55079009900,1
55079009800,1
55079008900,1
55079008800,1
55069960300,2
55069960500,2
55069960200,2
55085970500,4
55085971001,4
55069960400,2
55099970600,2
55079185500,1
55079185600,1
55079006700,1
55079185700,1
55079008100,1
55079008000,1
55079007000,1
55079003600,6
55079003800,1
55079004000,6
55079002700,6
55079002800,6
55079002600,1
55025991702,3
55025010200,3
55025010100,3
55025000100,3
55025000408,7
55025000201,7
55025000300,7
55113100700,2
55113100800,2
55099970400,2
55099970500,2
55107960500,2
55107960100,2
55079014600,1
55079186300,1
55079014700,1
55079186100,1
55079014800,1
55079011000,1
55079011300,1
55079011100,1
55079010700,1
55079011200,1
55079007900,1
55079007100,1
55059990000,1
55059001000,1
55059001900,1
55059001800,1
55059002200,1
55059002100,1
55079005200,6
55079005300,6
55079003400,6
55079005400,6
55079005500,6
55009001000,5
55009000800,5
55009001100,5
55009001200,5
55009020800,5
