GEOID,district
55127001602,1
55127001701,1
55059003001,1
55127001702,1
55105003200,1
55127000302,1
55127000600,1
55127000701,1
55011960300,2
55011960400,2
55091950100,2
55091950200,2
55121100700,2
55121100800,2
55011960500,2
55121100600,2
55089630100,3
55089630202,3
55089660304,3
55089990000,3
55101001501,3
55101001504,3
55079030100,3
55079990000,3
55117010400,4
55117011100,4
55039041900,4
55039042200,4
55039040700,4
55039041000,4
55039041100,4
55039042000,4
55133201300,5
55133201403,5
55079101000,5
55133201402,5
55079090600,5
55079185300,5
55133201000,5
55133201101,5
55009020503,6
55009940001,6
55009940003,6
55009940004,6
55009020203,6
55009020502,6
55009020204,6
55083101300,6
55119960400,7
55119960500,7
55119960100,7
55119960200,7
55119960300,7
55119960600,7
55073002000,7
55073002200,7
55021970800,8
55111000600,8
55111000200,8
55111001001,8
55025012800,8
55025012900,8
55025010904,8
55025013000,8
55025002100,8
55025002200,8
55025002401,8
55025002402,8
55025001604,8
55025001705,8
55025001900,8
55025002000,8
55031020700,7
55031030200,7
55031020600,7
55031020800,7
55031020300,7
55031021100,7
55031020400,7
55031020500,7
55105001100,1
55105001400,1
55105001302,1
55105001304,1
55105000200,1
55105000900,1
55105000700,1
55105000800,1
55079006400,5
55079006500,3
55079008600,3
55079008700,5
55079004600,3
55079006600,3
55079008500,3
55079185500,3
55133203200,5
55133203303,5
55133203405,5
55133203601,5
55133203101,1
55133203702,1
55133203602,5
55133203704,5
55087012601,6
55087012602,6
55087011000,6
55139002400,6
55087010100,6
55087010300,6
55087011300,6
55087011501,6
55003950800,7
55003990000,7
55003940000,7
55051180200,7
55003950300,7
55003950500,7
55003950400,7
55007960300,7
55025002900,8
55025010300,8
55025001401,8
55025991703,8
55025002603,8
55025003002,8
55025003001,8
55025003100,8
55079000600,3
55079001400,3
55079000501,3
55079000502,3
55079000302,3
55079000304,3
55079000102,3
55079000700,3
55013970800,2
55013970900,2
55013971000,2
55095960200,2
55005000200,2
55005000300,2
55095960300,2
55095960600,2
55001950700,8
55021970300,8
55021970400,8
55021970500,8
55057100600,8
55057100700,8
55111000100,8
55111000300,8
55067960500,7
55083100300,7
55041950200,7
55041950300,7
55067960400,7
55067960600,7
55073001600,7
55115100800,7
55079001300,5
55079001500,5
55079001600,5
55079001800,5
55079001700,5
55079003000,5
55079003200,5
55079003300,5
55131420104,4
55131420200,4
55027960100,4
55131430100,4
55131420300,4
55131420401,4
55131420106,4
55131420402,4
55079185400,5
55079185900,5
55079009700,5
55079185800,5
55079014100,3
55079186200,5
55079014600,5
55079014700,5
55117000900,4
55117001000,4
55117010800,4
55117011300,4
55117010100,4
55117010700,4
55015020600,4
55071010600,4
55079014300,3
55079186900,3
55079010800,3
55079011000,3
55079011100,3
55079011200,3
55079010600,3
55079010700,3
55127000400,1
55127000501,1
55127000301,1
55127000502,1
55055101202,1
55055101500,1
55055101201,1
55055101400,1
55097960500,7
55097960702,7
55097960600,7
55097960701,7
55097961300,7
55137960200,7
55137960300,7
55137960800,7
55117010601,4
55117010900,4
55117010200,4
55117010602,4
55117010501,4
55117010502,4
55071010700,4
55117010300,4
55027962000,1
55055100200,4
55055100100,4
55055100300,4
55055100700,4
55055101701,4
55055101702,4
55133204400,4
55043960300,8
55043960600,8
55043960900,8
55043961000,8
55023960400,8
55023960500,8
55023960100,2
55023960300,8
55015020700,6
55087011600,6
55087011700,6
55087011800,6
55087012000,6
55087012100,6
55087012200,6
55087012300,6
55009000100,6
55009000500,6
55009000800,6
55009001000,6
55009020800,6
55009020900,6
55009001300,6
55009001400,6
55079011300,3
55079011400,3
55079014400,3
55079186300,3
55079186800,3
55079187400,3
55079013300,3
55079013400,3
55071000200,4
55071010200,4
55071000300,4
55071000600,4
55071000400,4
55071000500,4
55071000700,4
55071000800,4
55079000400,3
55133200600,5
55133200202,5
55133200400,5
55079000301,3
55079000303,3
55079000201,3
55079000202,3
55141011600,2
55141011700,2
55141011000,7
55141011400,7
55141010800,2
55141010900,2
55141011200,2
55141011300,2
55101001100,3
